Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,8,31,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,1,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,2,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,3,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,4,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,5,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,6,14.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,7,18.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,8,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,9,4.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,10,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,11,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,12,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,13,5.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,14,5.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,15,72.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,16,8.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,17,34.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,18,12.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,19,41.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,20,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,21,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,22,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,23,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,24,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,25,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,26,0.00
ARAKKONAM,Arakkonam                     ,Ranipet,"13°05'28""","79°39'24""",2011,9,27,0.00
